term,coefficient,std_error,t_value,p_value,ci_lower_95,ci_upper_95
const,3.876796217457635,0.06757047320031685,57.37411673830717,0.0,3.7443583120090453,4.009234122906225
shucked_weight,-15.752219747169102,0.16765266789551267,-93.95746542480593,0.0,-16.080818425368765,-15.42362106896944
shell_weight,21.01300412512702,0.24223788393657344,86.74532564290801,0.0,20.538218668560052,21.487789581693985
height,19.96679341837051,0.532785807382914,37.47621115594084,1.8755922297435626e-304,18.922534986535254,21.011051850205767
sex_I,-0.7136430682254745,0.023657689584990975,-30.165374588321058,1.1523701163323479e-198,-0.7600120620772807,-0.6672740743736684
whole_weight,3.6920499020761275,0.13461276102535968,27.427190958371195,9.079738678314129e-165,3.4282093327789656,3.9558904713732894
viscera_weight,-6.820523436829742,0.32813794723173145,-20.785536980314802,1.1142558627896472e-95,-7.463672735203557,-6.177374138455927
diameter,7.917487324618013,0.5555346328655529,14.252013927157183,5.027103746699208e-46,6.828641269585202,9.006333379650822
length,-1.8042887609955134,0.44719238463743693,-4.034703682305207,5.4727253121080905e-05,-2.6807843654937313,-0.9277931564972957
sex_M,-0.022436412293908067,0.018674342141490163,-1.201456636272045,0.2295780435760117,-0.059038061530807234,0.0141652369429911
