subset_size,predictors,subset_tuple,rss,r2,adj_r2,aic,bic,cp,cv_rmse_mean,cv_rmse_se,cv_rmse_min_fold,cv_rmse_max_fold,n_parameters_including_intercept
1,shell_weight,"('shell_weight',)",375084.42280698917,0.48476174135800554,0.48475463364302906,324880.66639390367,324899.04885688354,5.174367186684043,2.274518353608353,0.010624700531972361,2.2214152994157987,2.3336714828757166,2
1,height,"('height',)",406361.0163674775,0.4417983533245553,0.44179065292937425,330686.6115129809,330704.99397596077,5.605816085327869,2.3674208134917096,0.017118075074027402,2.2938597469273474,2.4754589823112156,2
1,diameter,"('diameter',)",432220.4655173432,0.40627627685518897,0.4062680864327425,335158.920459129,335177.30292210885,5.962537504930939,2.441707028142368,0.00830343609855049,2.401289563636803,2.482978367558384,2
1,whole_weight,"('whole_weight',)",449882.9804263735,0.3820139964947755,0.38200547137402086,338062.34905944916,338080.73152242904,6.206185285500247,2.491071065024052,0.00905784210063654,2.4517325424701766,2.53778564115722,2
1,whole_weight_2,"('whole_weight_2',)",474268.55522378883,0.3485165214448188,0.34850753422618785,341888.92830002285,341907.3107630027,6.542575160209393,2.5576905146193014,0.009684146721475327,2.5158957310195036,2.60398312719591,2
1,whole_weight_1,"('whole_weight_1',)",534230.5974436607,0.26614909603488035,0.2661389725571045,350519.37946585636,350537.76192883623,7.369729083675042,2.714584106249547,0.009429820962940783,2.6717483222568363,2.767997852050936,2
1,sex_I,"('sex_I',)",534461.8180616632,0.26583147764995696,0.26582134979063354,350550.7479776163,350569.1304405962,7.372918685534592,2.7152392090961457,0.00803535960599479,2.670498806800075,2.7551994880433655,2
2,shell_weight + whole_weight_1,"('shell_weight', 'whole_weight_1')",314412.88503940357,0.568103772025562,0.5680918558388861,312091.88175122335,312119.4554456931,4.337535037998251,2.0824437132958153,0.012103594050966312,2.0274671286766726,2.1576419399959264,3
2,shell_weight + whole_weight,"('shell_weight', 'whole_weight')",346013.28292449436,0.5246955871245147,0.5246824732889569,319034.4494070483,319062.02310151805,4.773450696072119,2.1845889806540666,0.012425708173035574,2.1230061545820393,2.265437473521311,3
2,shell_weight + whole_weight_2,"('shell_weight', 'whole_weight_2')",352133.14258621336,0.5162889841212757,0.5162756383442371,320305.3926192387,320332.96631370846,4.857871868914901,2.2038216859832334,0.011900502436534432,2.1477298146080166,2.2794722148285125,3
2,whole_weight_1 + whole_weight,"('whole_weight_1', 'whole_weight')",358103.32744227967,0.5080879833279335,0.5080744112820597,321524.14398684667,321551.7176813164,4.940228333849878,2.2225399995076662,0.010263926785014539,2.17703423310427,2.260434933395548,3
2,shell_weight + height,"('shell_weight', 'height')",369731.4191921346,0.4921149453124156,0.4921009325641452,323840.64607770205,323868.2197721718,5.10063350614275,2.258351606578607,0.010594397680346363,2.2037468067788875,2.318539925484436,3
2,shell_weight + sex_I,"('shell_weight', 'sex_I')",369790.75554906856,0.492033437365506,0.49201942236839924,323852.27902487526,323879.852719345,5.101452028971945,2.2584260983446667,0.01047591303546968,2.2095634987226886,2.3151261835472203,3
2,shell_weight + diameter,"('shell_weight', 'diameter')",375074.8683878351,0.4847748658760819,0.4847606506121349,324880.8198022224,324908.3934966922,5.174344387284124,2.27452632179183,0.010669014147683077,2.2213284319958553,2.3341466069929746,3
2,height + sex_I,"('height', 'sex_I')",396683.9902700306,0.45509129158620976,0.45507625734078183,328941.4094785224,328968.9831729921,5.4724341334933,2.3393581565379646,0.014257770305747822,2.2765300311722068,2.4312457614057292,3
2,whole_weight_1 + height,"('whole_weight_1', 'height')",397952.0285345615,0.4533494388523134,0.45333435654848386,329172.7674983488,329200.34119281854,5.489926246616553,2.343885464849918,0.023875200272383976,2.2535148203537787,2.4912951298918062,3
2,height + diameter,"('height', 'diameter')",402854.39259601326,0.4466152601750206,0.44659999207255474,330060.33934025175,330087.9130347215,5.557552523467126,2.3583343438597852,0.013154806808046197,2.2960624519433734,2.4418145418003463,3
2,height + whole_weight,"('height', 'whole_weight')",404813.6271524943,0.44392393912895345,0.4439085967718821,330412.0410458649,330439.6147403347,5.584579430663521,2.364019840302441,0.014793149742648398,2.2973232337688776,2.4579900859096453,3
2,height + whole_weight_2,"('height', 'whole_weight_2')",406329.6734398318,0.44184140783303094,0.4418260080181027,330683.0199354213,330710.59362989105,5.605492721610625,2.368482783997041,0.01705096691182904,2.295364409018323,2.4765807554215855,3
2,whole_weight_1 + diameter,"('whole_weight_1', 'diameter')",415628.4136267955,0.4290681055837906,0.42905235334843306,332323.2812658531,332350.85496032285,5.733765361170352,2.3944380809506036,0.007829669207880202,2.3571134432187337,2.4316193202183216,3
2,diameter + sex_I,"('diameter', 'sex_I')",421005.72190229764,0.4216815153028166,0.4216655592685301,333255.1514414504,333282.72513592016,5.80794331564122,2.4098305583162527,0.008359676160650345,2.3699639097563523,2.450688563530907,3
2,diameter + whole_weight,"('diameter', 'whole_weight')",429260.04770949023,0.410342882726891,0.41032661385527536,334662.69107563194,334690.2647701017,5.921808649846271,2.4333326649859464,0.008560308409108056,2.391981104216225,2.475762500736274,3
2,diameter + whole_weight_2,"('diameter', 'whole_weight_2')",431988.6943210921,0.40659465154712116,0.4065782792603341,335122.0373767867,335149.61107125646,5.959449308285849,2.441077030665043,0.008400473753846267,2.400234449522147,2.4825959837498885,3
